"b9001     ","011111016880                                      ","A         ",25.00    
"b9001     ","011111016897                                      ","A         ",25.00    
"b9001     ","011111016903                                      ","A         ",25.00    
"b9001     ","011111016910                                      ","A         ",25.00    
"b9001     ","011111016927                                      ","A         ",25.00    
"b9001     ","011111016934                                      ","A         ",25.00    
"b9001     ","011111016941                                      ","A         ",25.00    
"b9001     ","011111016958                                      ","A         ",25.00    
"b9001     ","011111016965                                      ","A         ",25.00    
"b9001     ","011111016972                                      ","A         ",25.00    
"b9001     ","011111017085                                      ","A         ",30.00    
"b9001     ","011111017092                                      ","A         ",30.00    
"b9001     ","011111017108                                      ","A         ",30.00    
"b9001     ","011111017115                                      ","A         ",30.00    
"b9001     ","011111017122                                      ","A         ",30.00    
"b9001     ","011111017139                                      ","A         ",30.00    
"b9001     ","011111017146                                      ","A         ",30.00    
"b9001     ","011111017153                                      ","A         ",30.00    
"b9001     ","011111017160                                      ","A         ",30.00    
"b9001     ","011111017177                                      ","A         ",30.00    
"b9001     ","011111017184                                      ","A         ",35.00    
"b9001     ","011111017191                                      ","A         ",35.00    
"b9001     ","011111017207                                      ","A         ",35.00    
"b9001     ","011111017214                                      ","A         ",35.00    
"b9001     ","011111017221                                      ","A         ",35.00    
"b9001     ","011111017238                                      ","A         ",35.00    
"b9001     ","011111017245                                      ","A         ",35.00    
"b9001     ","011111017252                                      ","A         ",35.00    
"b9001     ","011111017269                                      ","A         ",35.00    
"b9001     ","011111017276                                      ","A         ",35.00    
"b9001     ","011111017580                                      ","A         ",30.00    
"b9001     ","011111017597                                      ","A         ",30.00    
"b9001     ","011111017603                                      ","A         ",30.00    
"b9001     ","011111017610                                      ","A         ",30.00    
"b9001     ","011111017627                                      ","A         ",30.00    
"b9001     ","011111017634                                      ","A         ",30.00    
"b9001     ","011111017641                                      ","A         ",30.00    
"b9001     ","011111017658                                      ","A         ",30.00    
"b9001     ","011111017665                                      ","A         ",30.00    
"b9001     ","011111017672                                      ","A         ",30.00    
"b9001     ","011111017788                                      ","B         ",25.00    
"b9001     ","011111017795                                      ","B         ",25.00    
"b9001     ","011111017801                                      ","B         ",25.00    
"b9001     ","011111017818                                      ","B         ",25.00    
"b9001     ","011111017825                                      ","B         ",25.00    
"b9001     ","011111017832                                      ","B         ",25.00    
"b9001     ","011111017849                                      ","B         ",25.00    
"b9001     ","011111017856                                      ","B         ",25.00    
"b9001     ","011111017863                                      ","B         ",25.00    
"b9001     ","011111017870                                      ","B         ",25.00    
"b9001     ","011111017870                                      ","C         ",25.00    